Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
ACT,AdvisorShares Vice ETF,Equity,"$12,298,156.00",3.09%,"2,418",$25.84,0.74%,No,No,0.65%,0.73%,7.51%,N/A,N/A,$0.00,$0.00,$0.00,"-$1,825,297.25","$8,644,641.25","$8,644,641.25",All Cap Equities,2017-12-12,0.99%,N/A,$0.62,2019-12-27,$0.62,2.42%,21.11,0.89,31,52.73%,39%,20%,1099,$24.43,$26.02,$25.70,$25.92,62.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.57,0.00%,51.59%,46.36,64.42%,5.58%
EMTY,ProShares Decline of the Retail Store ETF,Equity,"$8,874,472.00",5.85%,"4,924",$35.49,-0.59%,Yes,No,1.16%,2.48%,6.65%,N/A,N/A,"-$2,516,376.00",$0.00,$0.00,"$4,276,552.75","$104,803.50","$104,803.50",Inverse Equities,2017-11-14,0.65%,N/A,$0.28,2019-12-24,$0.09,0.77%,0.00,-1.06,N/A,N/A,39%,20%,1099,$34.53,$36.45,$35.38,$35.63,52.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IECS,iShares Evolved U.S. Consumer Staples ETF,Equity,"$8,825,538.00",3.08%,"2,394",$29.45,0.03%,No,No,0.01%,0.26%,21.11%,N/A,N/A,$0.00,$0.00,$0.00,"$4,122,787.00","$4,121,173.50","$4,121,173.50",Consumer Staples Equities,2018-03-21,0.18%,N/A,$0.65,2019-12-16,$0.24,2.22%,23.63,0.62,131,55.65%,39%,20%,1099,$28.85,$29.65,$29.42,$29.50,62.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.02,55.26%,65.03%,78.51,14.70%,12.38%
UGE,ProShares Ultra Consumer Goods,Equity,"$8,758,040.00",9.65%,748,$58.43,1.04%,No,2x,1.53%,3.43%,44.40%,44.86%,80.63%,$0.00,$0.00,$0.00,"-$75,538.50","-$6,062,949.00","-$15,874,634.12",Leveraged Equities,2007-01-30,0.95%,N/A,$0.46,2019-12-24,$0.11,0.79%,22.84,1.51,105,57.67%,35%,15%,1099,$53.84,$59.03,$58.43,$58.43,66.69,A-,C+,B,B+,A-,N/A,N/A,5.8,66.33%,58.00%,55.3,9.41%,12.94%
NEED,Direxion Daily Consumer Staples Bull 3X Shares,Equity,"$7,300,050.00",6.08%,"7,352",$36.50,-0.30%,No,3x,0.85%,1.02%,63.37%,N/A,N/A,"$1,755,020.50",$0.00,$0.00,"$3,234,923.00","$3,234,923.00","$3,234,923.00",Leveraged Equities,2018-11-29,0.97%,N/A,$1.13,2019-12-23,$0.10,3.10%,25.61,2.20,34,71.37%,39%,20%,1099,$34.23,$37.28,N/A,N/A,59.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.73,87.76%,81.80%,59.51,9.38%,11.69%
ORG,The Organics ETF,Equity,"$6,698,774.00",-8.20%,"1,411",$21.95,-0.86%,No,No,-1.77%,-5.00%,-14.93%,-7.10%,N/A,$0.00,$0.00,$0.00,"-$2,478,227.00","$6,259,696.00","$6,259,720.88",Global Equities,2016-06-08,0.35%,N/A,$0.59,2019-12-19,$0.17,2.64%,28.14,0.73,24,72.64%,39%,20%,1099,$21.40,$23.88,$21.76,$22.16,38.76,N/A,N/A,B,N/A,N/A,N/A,N/A,4.49,36.23%,30.07%,51.62,0.00%,6.22%
CHIS,Global X MSCI Consumer Staples ETF,Equity,"$4,330,946.00",-1.20%,"11,065",$21.49,-0.19%,No,No,-0.62%,-1.25%,31.40%,N/A,N/A,"$1,119,910.50",$0.00,$0.00,"$2,178,697.00","$2,178,697.00","$2,178,697.00",China Equities,2018-12-07,0.65%,N/A,$0.74,2019-12-30,$0.60,3.43%,25.42,2.04,49,60.71%,39%,20%,1099,$19.46,$22.22,$21.38,$21.68,53.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.12,13.16%,0.53%,113.55,24.21%,4.91%
FTXG,First Trust Nasdaq Food & Beverage ETF,Equity,"$3,279,745.00",-0.63%,"4,844",$21.93,-1.08%,No,No,-0.80%,-1.38%,16.52%,12.28%,N/A,"-$1,089,207.50",$0.00,$0.00,"$966,904.00","-$2,139,302.00","$842,429.50",Consumer Staples Equities,2016-09-21,0.60%,N/A,$0.28,2019-12-13,$0.09,1.26%,22.22,0.58,29,60.30%,39%,20%,1099,$21.50,$22.44,$21.93,$21.93,54.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.48,47.37%,49.42%,108.97,6.63%,16.77%
SZK,ProShares Ultra Short Consumer Goods,Equity,"$1,108,192.00",-9.09%,"1,498",$9.82,-1.11%,Yes,2x,-1.59%,-3.65%,-33.41%,-40.17%,-61.94%,"-$518,862.00",$0.00,"-$518,862.00","-$416,397.50","-$403,515.50","$1,671,485.31",Leveraged Equities,2007-01-30,0.95%,N/A,$0.18,2019-12-24,$0.03,1.85%,0.00,-1.32,105,57.76%,35%,15%,1099,$9.68,$10.68,$9.77,$9.84,32.87,B,B-,B-,B,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LACK,Direxion Daily Consumer Staples Bear 3X Shares,Equity,"$704,949.00",-6.83%,"1,205",$14.04,0.21%,Yes,3x,-0.85%,-1.66%,-43.55%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"-$1,476,993.50","-$1,476,993.50",Leveraged Equities,2018-11-29,1.06%,N/A,$0.46,2019-12-23,$0.02,3.27%,0.00,-2.23,33,71.20%,39%,20%,1099,$13.74,$14.99,$13.97,$14.08,38.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
