Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
OLD,The Long-Term Care ETF,Equity,"$35,465,713.00",5.42%,"12,987",$32.29,-0.62%,No,No,1.27%,2.40%,16.54%,44.55%,N/A,"-$3,142,294.00",$0.00,$0.00,"$15,017,718.00","$25,766,999.00","$28,194,223.14",All Cap Equities,2016-06-08,0.35%,N/A,$0.65,2019-12-19,$0.28,1.99%,31.74,0.44,49,68.43%,39%,20%,1099,$30.76,$32.43,$32.15,$32.46,64.78,N/A,N/A,B-,N/A,N/A,N/A,N/A,6.45,90.57%,75.58%,67.42,0.00%,17.76%
IFEU,iShares Europe Developed Real Estate ETF,Real Estate,"$29,961,260.00",2.51%,"3,081",$42.63,1.38%,No,No,1.05%,2.79%,20.67%,41.41%,25.85%,$0.00,$0.00,$0.00,"-$5,616,186.00","-$20,095,805.50","-$13,181,332.00",Real Estate,2007-11-12,0.48%,N/A,$1.60,2019-12-16,$0.42,3.74%,9.86,0.61,100,43.65%,35%,15%,1099,$41.20,$42.31,$42.58,$42.69,66.18,C+,C,A-,A-,A-,C,B-,8.0,99.61%,96.16%,50.93,0.00%,29.45%
EWRE,Invesco S&P 500® Equal Weight Real Estate ETF,Real Estate,"$29,654,352.00",4.94%,"14,156",$32.97,-1.35%,No,No,0.44%,2.82%,15.70%,32.34%,N/A,"-$7,815,107.50",$0.00,"-$1,626,324.50","-$735,511.00","-$1,155,602.50","$26,050,150.00",Real Estate,2015-08-13,0.40%,N/A,$0.93,2019-12-23,$0.24,2.79%,37.73,0.69,32,34.61%,35%,15%,1099,$31.42,$33.38,$32.87,$33.17,62.29,N/A,N/A,B+,N/A,N/A,N/A,C+,6.61,100.00%,79.61%,111.49,0.00%,14.83%
SRS,ProShares Ultra Short Real Estate,Real Estate,"$16,349,097.00",-11.39%,"18,881",$16.41,2.56%,Yes,2x,-0.42%,-6.81%,-30.49%,-50.52%,-63.35%,$0.00,$0.00,$0.00,"$2,034,801.50","-$526,085.00","$12,516,713.25",Leveraged Real Estate,2007-01-30,0.95%,N/A,$0.33,2019-12-24,$0.06,2.09%,0.00,-1.06,113,38.27%,35%,15%,1099,$16.00,$18.32,$16.03,$16.60,34.98,B,A,C,B,A,N/A,N/A,6.58,69.81%,79.05%,0.0,0.00%,0.00%
CHIR,Global X MSCI China Real Estate ETF,Real Estate,"$13,927,439.00",-5.67%,"17,915",$18.64,0.76%,No,No,0.73%,-0.72%,18.34%,N/A,N/A,"$11,250,478.00","$1,837,829.50","$11,250,478.00","$11,250,478.00","$11,250,478.00","$11,250,478.00",Global Real Estate,2018-12-07,0.65%,N/A,$0.69,2019-12-30,$0.43,3.75%,6.78,3.13,47,63.10%,39%,20%,1099,$16.65,$19.16,$18.46,$18.78,53.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.65,0.39%,0.12%,21.93,0.00%,3.49%
HOMZ,Hoya Capital Housing ETF,Real Estate,"$13,027,440.00",6.20%,"4,660",$30.68,-0.26%,No,No,0.44%,2.11%,N/A,N/A,N/A,"$2,225,492.50",$0.00,"$752,317.50","$8,260,399.75","$8,260,399.75","$8,260,399.75",Real Estate,2019-03-20,0.45%,N/A,$0.45,2020-02-11,$0.00,1.47%,19.32,1.07,100,19.32%,39%,20%,1099,$29.52,$30.92,N/A,N/A,64.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.82,76.47%,35.53%,92.66,0.74%,8.43%
DRV,Direxion Daily Real Estate Bear 3x Shares,Real Estate,"$12,123,768.00",-15.73%,"16,418",$21.96,3.54%,Yes,3x,-0.50%,-9.24%,-39.37%,-62.54%,-79.18%,$0.00,$0.00,$0.00,"$1,545,445.94","$10,593,312.44","$22,585,458.55",Leveraged Real Estate,2009-07-16,1.10%,N/A,$0.29,2019-12-23,$0.03,1.40%,0.00,-1.45,180,38.27%,35%,15%,1099,$21.15,$25.64,$21.45,$22.23,36.02,B-,A-,B,B-,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REK,ProShares Short Real Estate,Real Estate,"$6,069,256.00",-5.75%,"4,765",$12.13,1.25%,Yes,No,-0.20%,-3.42%,-15.72%,-27.53%,-36.85%,"-$607,939.00","-$607,939.00","-$607,939.00","-$1,254,700.00","-$6,114,432.00","$3,914,568.00",Real Estate,2010-03-16,0.95%,N/A,$0.16,2019-12-24,$0.03,1.38%,0.00,-0.52,113,38.27%,35%,15%,1099,$11.98,$12.81,$12.02,$12.19,35.37,A-,B-,B+,B+,A+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RORE,Hartford Multifactor REIT ETF,Real Estate,"$4,919,226.00",0.42%,"13,015",$16.37,-1.44%,No,No,-0.13%,-0.80%,8.90%,21.03%,N/A,"-$3,259,426.00",$0.00,$0.00,"-$25,273,078.00","-$1,919,756.00","-$460,553.00",Real Estate,2016-10-03,0.45%,N/A,$0.78,2019-12-20,$0.19,4.66%,26.10,0.51,55,23.58%,20%,39%,1099,$16.15,$16.67,$16.35,$16.40,51.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.94,7.06%,2.70%,93.84,2.05%,6.02%
LRET,ETRACS Monthly Pay 2xLeveraged MSCI US REIT ETN,Real Estate,"$4,390,806.00",8.08%,534,$30.48,-2.71%,No,2x,0.76%,4.44%,23.30%,31.68%,N/A,$0.00,$0.00,$0.00,"-$2,529,090.00","-$3,775,631.00","-$22,970,006.50",Leveraged Real Estate,2015-05-06,0.85%,N/A,$1.14,2020-02-11,$0.15,3.75%,0.00,1.21,180,38.27%,35%,15%,1099,$28.14,$31.23,$30.48,$30.48,59.77,N/A,N/A,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RTL,Pacer Benchmark Retail Real Estate SCTR ETF,Real Estate,"$1,368,670.00",-0.18%,"2,431",$27.40,-1.69%,No,No,-0.19%,-1.66%,-0.21%,N/A,N/A,"-$1,340,865.00",$0.00,$0.00,"-$1,431,505.00","-$1,416,975.00","-$1,416,975.00",Real Estate,2018-05-15,0.60%,N/A,$0.89,2019-12-24,$0.20,3.19%,18.05,0.53,36,67.74%,39%,20%,1099,$26.94,$28.21,$27.40,$27.41,48.43,A-,B-,C+,A,A+,A-,B-,3.32,17.06%,11.50%,75.24,0.00%,0.51%
