Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,"$310,473,999.00",1.05%,"53,069",$31.35,-0.41%,No,No,-0.13%,1.62%,5.65%,0.85%,18.50%,"-$1,541,857.50",$0.00,"-$3,091,824.00","-$47,051,602.50","$122,389,277.00","$244,807,657.00",Real Estate,2010-12-02,0.35%,N/A,$1.95,2020-01-21,$0.19,6.19%,-253.40,0.86,31,46.82%,35%,15%,1099,$29.05,$31.93,$31.23,$31.54,57.72,A,B,A-,A+,B-,A,C+,0.76,0.59%,0.17%,80.73,2.96%,0.17%
SRVR,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF,Real Estate,"$303,483,255.00",11.66%,"87,582",$36.38,0.17%,No,No,1.99%,7.89%,38.86%,N/A,N/A,"$68,943,860.00","$3,632,460.00","$39,336,410.00","$246,072,635.00","$252,367,840.00","$252,367,840.00",Real Estate,2018-05-15,0.60%,N/A,$0.53,2019-12-24,$0.19,1.45%,39.87,0.60,19,78.31%,39%,20%,1099,$32.25,$36.49,$36.28,$36.54,78.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.55,57.65%,31.21%,169.21,0.00%,9.84%
VRAI,Virtus Real Asset Income ETF,Real Estate,"$263,531,539.00",-2.01%,"23,813",$24.88,-0.16%,No,No,-0.58%,-2.26%,0.41%,N/A,N/A,"-$53,550,433.00",$0.00,"$5,046,656.00","$265,008,583.50","$265,008,583.50","$265,008,583.50",Real Estate,2019-02-07,0.55%,N/A,$0.71,2019-12-20,$0.18,2.85%,14.48,1.05,91,13.18%,39%,20%,1099,$24.38,$25.42,$24.72,$25.17,47.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.69,3.06%,6.20%,468.34,6.93%,2.91%
MORT,VanEck Vectors Mortgage REIT Income ETF,Real Estate,"$230,213,869.00",7.34%,"53,287",$25.74,0.04%,No,No,1.34%,3.83%,19.54%,40.63%,62.65%,"$7,489,628.00","$1,259,592.00","$7,491,644.00","$50,242,416.00","$99,069,414.50","$97,839,037.50",Real Estate,2011-08-16,0.42%,N/A,$1.77,2019-12-30,$0.64,6.86%,16.13,0.60,26,63.74%,35%,15%,1099,$24.45,$25.80,$25.71,$25.80,77.74,C,B+,B+,C,C,A,C,2.16,8.24%,3.64%,9.46,0.00%,0.00%
HAUZ,Xtrackers International Real Estate ETF,Real Estate,"$212,273,823.00",1.29%,"50,419",$29.90,0.03%,No,No,0.30%,0.64%,12.60%,32.18%,25.42%,"$35,465,178.50","$3,001,105.00","$22,172,284.50","$200,215,874.00","$200,215,874.00","$200,215,874.00",Global Real Estate,2013-10-01,0.10%,N/A,$1.09,2019-12-18,$0.84,3.64%,11.92,0.73,523,18.69%,N/A,N/A,N/A,$29.07,$30.05,$29.82,$29.98,59.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.15,50.97%,42.21%,93.27,1.71%,18.24%
FRI,First Trust S&P REIT Index Fund,Real Estate,"$165,394,544.00",4.67%,"55,742",$27.34,-1.55%,No,No,0.44%,2.32%,13.94%,26.91%,34.07%,"-$40,323,021.00",$0.00,$0.00,"$33,307,890.00","-$80,111,810.50","-$149,162,723.75",Real Estate,2007-05-08,0.50%,N/A,$0.60,2019-12-13,$0.21,2.15%,32.23,0.53,153,36.38%,35%,15%,1099,$26.31,$27.64,$27.19,$27.64,60.58,A-,A,B-,A-,B+,C,A,4.25,35.29%,23.61%,106.49,0.86%,12.74%
URE,ProShares Ultra Real Estate,Real Estate,"$155,104,852.00",12.11%,"8,808",$97.98,-2.38%,No,2x,0.43%,6.99%,38.19%,70.09%,77.83%,"-$4,591,211.75",$0.00,"-$2,319,244.25","-$27,810,827.75","$64,141,924.45","-$58,087,072.59",Leveraged Real Estate,2007-01-30,0.95%,N/A,$0.96,2019-12-24,$0.44,0.95%,31.59,1.15,114,38.85%,35%,15%,1099,$87.60,$100.27,$97.04,$99.87,64.71,A,B+,B-,A-,A-,N/A,N/A,4.61,33.67%,32.16%,114.63,0.52%,8.00%
PSR,Invesco Active U.S. Real Estate Fund,Real Estate,"$142,180,416.00",6.22%,"16,813",$101.71,-1.15%,No,No,0.27%,3.62%,21.04%,40.48%,48.86%,"$233,264.00",$0.00,$0.00,"$93,271,703.50","$97,546,313.50","$78,178,855.00",Real Estate,2008-11-20,0.35%,N/A,$2.44,2019-12-23,$0.76,2.37%,41.77,0.51,81,40.14%,35%,15%,1099,$96.05,$102.98,$101.29,$102.56,65.11,C+,C+,C,B+,A,C,B+,4.26,35.88%,23.69%,118.88,0.87%,11.77%
PPTY,PPTY - U.S. Diversified Real Estate ETF,Real Estate,"$135,794,800.00",4.53%,"13,135",$33.97,-1.05%,No,No,0.50%,2.49%,18.31%,N/A,N/A,"$6,457,325.00",$0.00,"$1,631,160.00","$12,572,635.00","$106,296,645.00","$106,296,645.00",Real Estate,2018-03-27,0.49%,N/A,$0.98,2019-12-19,$0.25,2.86%,31.55,0.59,115,29.46%,39%,20%,1099,$32.71,$34.28,$33.78,$34.35,61.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.65,20.59%,15.27%,107.54,0.00%,12.64%
WPS,iShares International Property ETF,Real Estate,"$126,444,128.00",1.84%,"15,874",$39.46,-0.18%,No,No,0.01%,0.72%,11.91%,31.01%,29.26%,"$11,703,651.00",$0.00,"$11,703,651.00","-$112,400,757.00","-$9,830,172.00","-$40,341,669.00",Global Real Estate,2007-08-07,0.48%,N/A,$2.64,2019-12-16,$1.59,6.66%,11.13,0.56,336,23.24%,35%,15%,1099,$38.66,$39.68,$39.44,$39.52,60.73,A,B+,B,A,B+,B+,A,5.97,84.17%,62.98%,79.28,1.87%,21.94%
