Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
AIIQ,AI Powered International Equity ETF,Equity,"$5,416,960.00",0.73%,"1,966",$27.14,-0.44%,No,No,0.21%,-1.20%,16.98%,N/A,N/A,"$1,350,535.00",$0.00,$0.00,"$1,350,535.00","$2,590,890.00","$2,590,890.00",Global Equities,2018-06-06,0.79%,N/A,$0.33,2019-12-24,$0.33,1.21%,16.68,0.85,152,21.51%,39%,20%,1099,$26.68,$27.46,$27.09,$27.17,54.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.77,42.01%,82.43%,164.89,11.10%,5.31%
XKCP,SPDR Kensho Clean Power ETF,Equity,"$5,368,993.00",31.66%,"4,823",$37.62,-1.16%,No,No,2.45%,7.36%,N/A,N/A,N/A,$0.00,$0.00,$0.00,"$1,616,945.10","$1,642,234.35","$1,642,234.35",Alternative Energy Equities,2018-10-22,0.45%,N/A,$0.25,2019-03-18,$0.14,0.65%,17.00,-1.40,44,34.27%,39%,20%,1099,$34.42,$38.77,$37.35,$38.13,61.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IEFN,iShares Evolved U.S. Financials ETF,Equity,"$5,368,962.00",1.44%,685,$26.85,0.00%,No,No,-0.23%,0.76%,16.76%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"$1,175,552.50","$1,175,552.50",Financials Equities,2018-03-21,0.18%,N/A,$0.55,2019-12-16,$0.15,2.03%,15.14,1.20,278,30.89%,39%,20%,1099,$25.77,$27.22,$26.78,$26.89,56.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.13,26.43%,21.39%,16.25,2.47%,0.50%
BIKR,Rogers AI Global Macro ETF,Multi-Asset,"$3,753,945.00",9.13%,521,$24.97,0.00%,No,No,-0.29%,3.35%,2.34%,N/A,N/A,$0.00,$0.00,$0.00,"-$1,191,565.00","$1,321,355.00","$1,321,355.00",N/A,2018-06-21,0.86%,N/A,$0.59,2019-06-28,$0.35,2.37%,11.43,0.55,45,49.63%,39%,20%,1099,$24.27,$25.31,N/A,N/A,63.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QRFT,QRAFT AI Enhanced U.S. Large Cap ETF,Equity,"$3,678,314.00",6.68%,303,$29.44,-0.57%,No,No,0.27%,2.57%,N/A,N/A,N/A,$0.00,$0.00,$0.00,"$606,823.50","$606,823.50","$606,823.50",Large Cap Growth Equities,2019-05-21,0.75%,N/A,$0.99,2019-12-23,$0.99,3.34%,22.61,1.81,312,36.63%,39%,20%,1099,$27.86,$29.85,$29.44,$29.44,65.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.06,80.33%,65.94%,70.1,6.97%,6.60%
AUGR,Defiance Future Tech ETF,Equity,"$3,569,055.00",21.45%,"1,829",$23.87,-0.79%,No,No,3.49%,5.01%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"$1,124,970.00","$1,124,970.00",Global Equities,2018-08-01,0.40%,N/A,$0.08,2019-03-12,$0.01,0.32%,18.61,1.55,46,41.20%,39%,20%,1099,$22.14,$24.06,$23.79,$23.92,55.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XKFF,SPDR Kensho Final Frontiers ETF,Equity,"$3,312,443.00",28.96%,"1,945",$33.28,-0.30%,No,No,3.11%,6.33%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"$29,395.50","$29,395.50",Industrials Equities,2018-10-22,0.45%,N/A,$0.12,2019-03-18,$0.07,0.34%,19.06,-1.18,29,49.42%,39%,20%,1099,$30.61,$33.80,$33.25,$33.35,63.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DQML,Reality Shares Fundstrat DQM Long ETF,Equity,"$2,609,164.00",16.83%,"1,283",$25.92,-0.61%,No,No,-1.10%,-0.70%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"-$27,340.25","-$27,340.25",Large Cap Blend Equities,2018-11-01,0.69%,N/A,$0.39,2019-09-25,$0.10,1.49%,16.79,1.03,100,11.69%,39%,20%,1099,$25.10,$26.54,$25.86,$26.02,50.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EKAR,Innovation Shares NextGen Vehicles & Technology ETF,Equity,"$1,798,121.00",5.95%,816,$24.06,-0.41%,No,No,0.92%,2.56%,16.87%,N/A,N/A,$0.00,$0.00,$0.00,"$494,921.50","-$577,245.25","-$577,245.25",Large Cap Blend Equities,2018-02-13,0.65%,N/A,$0.25,2019-12-24,$0.25,1.04%,11.40,1.36,59,45.80%,39%,20%,1099,$22.37,$24.42,$23.89,$24.19,61.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.81,30.59%,35.49%,61.73,4.60%,11.83%
PETZC,Gabelli Pet Parents' NextShares,Equity,"$732,965.00",N/A,N/A,$99.97,0.00%,No,No,0.00%,0.00%,N/A,N/A,N/A,$0.00,$0.00,$0.00,"-$452,589.75","-$198,867.75","-$198,867.75",Global Equities,2018-06-19,0.96%,N/A,$0.00,N/A,N/A,0.00%,N/A,0.00,1,0.00%,39%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
